"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
12	22	40	41	17	23	44	43	29	48	10	13	27	39	25	8	20	24	53	33	52	11	49	4	37	36	19	26	38	30	31	34	32	16	21	50	7	5	42	9	51	6	14	46	3	45	47	15	18	28
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	33	29	48	17	23	22	40	41	1	12	44	43	10	13	27	39	25	8	20	24	53	52	11	49	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	51	6	14	46	45	47	15	18	28
37	11	49	36	52	19	38	20	24	53	8	25	10	13	27	39	30	31	34	32	43	16	44	21	50	1	12	7	22	40	41	17	23	5	42	9	29	48	33	51	6	26	14	46	45	47	15	18	3	28
42	9	7	21	50	16	32	34	30	31	51	6	38	19	36	14	4	37	46	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	45	22	40	41	47	17	23	15	29	48	33	18	26	28	3
51	14	46	9	5	42	7	21	50	16	32	34	30	31	45	47	38	19	15	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	18	43	44	1	12	22	40	41	17	23	29	48	33	28	26	3
5	42	9	21	50	16	32	34	30	31	38	19	51	6	36	4	37	11	49	52	14	20	24	53	8	46	25	10	13	27	39	43	44	1	12	22	40	41	17	23	45	29	48	47	15	33	26	18	28	3
20	24	53	25	10	13	27	39	52	11	49	4	37	43	44	36	19	1	12	38	22	40	41	17	23	30	31	34	29	48	32	16	21	50	33	7	5	42	9	26	51	6	14	46	45	47	15	3	18	28
5	42	7	21	50	16	32	34	30	31	51	6	38	19	14	36	46	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	45	47	22	40	41	15	17	23	29	48	33	18	26	28	3
13	27	39	25	8	20	24	43	53	44	52	11	49	1	12	4	37	22	40	41	17	23	36	19	38	29	48	30	31	34	33	32	16	21	50	7	26	5	42	9	51	6	14	46	3	45	47	15	18	28
49	52	4	37	20	24	53	36	8	19	38	25	10	13	27	39	43	44	30	31	34	32	16	1	12	21	50	22	40	41	17	23	7	5	42	9	29	48	33	51	6	26	14	46	45	47	15	3	18	28
1	22	40	41	17	23	44	43	29	48	10	13	27	39	25	8	20	24	53	33	52	11	49	4	37	36	19	26	38	30	31	34	32	16	21	50	7	5	42	9	51	6	14	46	3	45	47	15	18	28
10	27	39	25	8	20	24	43	53	44	52	11	49	1	12	4	37	22	40	41	17	23	36	19	38	29	48	30	31	34	33	32	16	21	50	7	26	5	42	9	51	6	14	46	3	45	47	15	18	28
46	6	51	9	5	42	45	47	7	15	21	50	16	32	34	30	31	38	18	19	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	22	40	41	17	23	28	29	48	33	26	3
47	45	18	46	14	6	51	28	9	5	42	7	21	50	16	32	34	30	31	38	19	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	22	40	41	17	23	29	48	33	26	3
21	50	32	34	30	31	7	5	42	9	38	19	36	4	37	11	49	52	20	24	53	51	6	8	25	10	13	27	39	43	14	44	46	1	12	22	40	41	17	23	29	48	33	45	47	15	26	18	28	3
23	22	40	41	1	12	29	48	44	43	33	10	13	27	39	25	8	20	24	53	26	52	11	49	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	51	6	3	14	46	45	47	15	18	28
15	47	45	28	46	14	6	51	9	5	42	7	21	50	16	32	34	30	31	38	19	36	4	37	11	49	52	20	24	53	8	25	10	13	27	39	43	44	1	12	22	40	41	17	23	29	48	33	26	3
38	36	4	37	11	49	52	30	31	34	32	20	24	53	16	8	21	50	25	10	13	27	39	7	43	5	42	44	9	1	12	22	40	41	17	23	29	48	51	6	33	14	46	26	45	47	15	18	3	28
24	53	8	25	52	10	11	13	27	39	49	4	37	43	36	44	19	38	1	12	22	40	41	17	23	30	31	34	32	16	29	48	21	50	7	33	5	42	9	26	51	6	14	46	45	47	15	3	18	28
50	16	32	34	30	31	7	5	42	9	38	19	36	4	37	11	49	52	51	6	20	24	53	8	25	10	13	27	39	14	43	44	46	1	12	22	40	41	17	23	29	48	33	45	47	15	26	18	28	3
40	41	17	23	1	12	29	48	44	43	10	13	27	39	33	25	8	20	24	53	52	11	49	26	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	51	6	3	14	46	45	47	15	18	28
17	22	40	41	1	12	29	48	44	43	33	10	13	27	39	25	8	20	24	53	26	52	11	49	4	37	36	19	38	30	31	34	32	16	21	50	7	5	42	9	51	6	3	14	46	45	47	15	18	28
20	53	8	25	52	10	11	13	27	39	49	4	37	43	36	44	19	38	1	12	22	40	41	17	23	30	31	34	32	16	29	48	21	50	7	33	5	42	9	26	51	6	14	46	45	47	15	3	18	28
