"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	42	50	35	23	20	13	44	54	33	55	62	41	43	14	32	45	52	80	53	16	11	34	31	61	99	22	65	21	60	40	25	37	70	51	15	30	24	81	12	56	26	63	64	71
45	14	43	22	55	13	44	36	50	10	42	35	23	20	54	33	62	12	41	32	52	80	53	16	34	31	61	99	65	21	60	40	25	37	70	51	15	30	24	81	56	26	63	64	71
22	11	45	14	43	55	13	44	36	50	10	42	35	23	20	54	33	62	41	32	52	80	53	16	34	31	61	99	65	21	60	40	25	37	70	51	15	30	24	81	56	26	63	64	71
44	36	50	55	10	42	35	23	43	14	20	45	54	33	11	62	41	22	32	52	80	53	16	34	31	61	99	65	21	60	40	25	37	70	51	12	15	30	24	81	56	26	63	64	71
43	45	55	11	13	44	22	36	50	10	42	35	23	20	54	33	62	41	32	52	80	53	16	34	12	31	61	99	65	21	60	40	25	37	70	51	15	30	24	81	56	26	63	64	71
30	51	24	37	70	81	25	56	40	21	60	65	61	99	31	34	26	16	53	52	80	32	41	62	63	33	54	64	20	23	35	42	10	36	50	13	44	55	71	43	14	45	11	22	12
53	52	80	32	41	34	62	31	61	99	33	65	21	60	54	40	20	23	35	42	10	25	36	50	37	70	51	13	44	15	55	30	24	43	81	14	45	56	11	22	26	63	64	12	71
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	54	35	42	33	10	36	50	62	41	13	44	32	52	80	53	16	55	34	43	14	31	45	61	99	65	11	21	60	40	22	25	37	70	51	15	30	24	81	56	12	26	63	64	71
60	65	40	61	99	31	34	25	37	70	16	53	51	52	80	32	15	41	62	30	24	33	81	54	20	56	23	35	42	10	36	50	13	44	55	26	43	14	45	63	11	64	22	71	12
11	45	14	43	55	13	44	36	50	12	10	42	35	23	20	54	33	62	41	32	52	80	53	16	34	31	61	99	65	21	60	40	25	37	70	51	15	30	24	81	56	26	63	64	71
35	42	20	10	54	36	50	33	13	44	62	41	55	32	52	80	53	16	43	14	45	34	31	61	99	11	65	21	60	40	22	25	37	70	51	15	30	24	81	56	12	26	63	64	71
30	81	15	56	51	37	70	25	40	21	60	65	26	61	99	31	34	63	16	53	52	80	32	41	64	62	33	54	20	23	35	42	10	36	50	71	13	44	55	43	14	45	11	22	12
37	70	51	40	15	21	60	65	30	24	61	99	31	81	34	56	16	53	52	80	32	41	62	33	54	20	26	23	35	42	10	36	50	63	13	44	64	55	43	14	45	11	71	22	12
63	64	56	81	24	30	15	51	71	37	70	25	40	21	60	65	61	99	31	34	16	53	52	80	32	41	62	33	54	20	23	35	42	10	36	50	13	44	55	43	14	45	11	22	12
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	15	81	51	56	37	70	25	40	21	60	65	61	99	26	31	34	16	63	53	52	80	32	41	62	64	33	54	20	23	35	42	10	36	50	13	44	71	55	43	14	45	11	22	12
61	99	34	65	21	60	16	40	53	52	80	32	41	62	25	37	70	33	51	54	15	20	23	35	30	42	24	10	81	36	50	56	13	44	55	43	14	45	11	26	22	63	64	71	12
52	80	53	16	41	62	34	33	31	54	61	99	20	65	21	23	60	35	42	40	10	36	50	13	25	44	37	70	51	55	15	43	14	30	24	45	81	11	56	22	26	63	64	12	71
54	20	62	23	41	35	42	32	10	52	80	53	16	36	50	13	44	34	31	61	99	55	65	21	60	43	40	14	45	11	25	37	70	51	22	15	30	24	81	56	12	26	63	64	71
31	61	99	16	65	53	21	52	60	80	32	40	41	62	25	33	54	37	70	20	51	23	35	42	15	10	30	36	50	24	81	13	44	56	55	43	14	45	11	26	22	63	64	12	71
42	23	10	20	36	50	54	33	13	44	62	41	55	32	52	80	53	43	16	14	45	34	11	31	61	99	65	21	60	40	22	25	37	70	51	15	30	24	81	56	12	26	63	64	71
50	10	42	13	35	44	23	20	55	54	33	43	14	45	62	41	32	11	52	80	53	16	34	22	31	61	99	65	21	60	40	25	37	70	51	15	30	24	12	81	56	26	63	64	71
70	51	25	15	30	24	40	21	60	81	65	56	61	99	31	34	16	53	52	80	32	41	62	26	33	54	20	23	35	63	42	10	36	50	64	13	44	55	43	14	45	11	71	22	12
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	60	65	61	99	31	25	34	37	70	51	16	53	52	80	15	32	30	41	24	62	81	33	56	54	20	23	35	42	10	36	50	13	44	26	55	43	14	45	63	11	64	22	71	12
62	32	52	80	53	16	33	54	20	34	23	31	61	99	35	42	10	65	21	36	50	60	40	13	44	25	55	37	70	43	51	14	45	15	11	30	24	81	56	22	26	63	12	64	71
35	23	10	20	36	50	54	33	13	44	62	55	41	32	52	80	43	53	14	16	45	11	34	31	61	99	65	21	60	22	40	25	37	70	51	15	30	24	81	56	12	26	63	64	71
14	45	55	11	13	44	36	50	22	10	42	35	23	20	54	33	62	41	32	52	80	53	16	34	31	12	61	99	65	21	60	40	25	37	70	51	15	30	24	81	56	26	63	64	71
13	36	50	55	10	42	35	23	43	14	20	45	54	33	11	62	41	22	32	52	80	53	16	34	31	61	99	65	21	60	40	25	37	70	51	12	15	30	24	81	56	26	63	64	71
14	43	11	55	13	22	44	36	50	10	42	35	23	20	54	33	62	41	32	52	80	53	16	12	34	31	61	99	65	21	60	40	25	37	70	51	15	30	24	81	56	26	63	64	71
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	10	42	13	35	44	23	20	55	54	33	43	14	45	62	41	32	11	52	80	53	16	34	22	31	61	99	65	21	60	40	25	37	70	51	15	30	24	12	81	56	26	63	64	71
37	70	15	25	30	24	81	40	21	56	60	65	61	99	31	34	16	53	52	80	32	41	62	26	33	54	63	20	23	35	42	10	64	36	50	13	44	55	43	14	45	71	11	22	12
80	53	32	16	41	62	34	31	61	99	33	54	65	20	21	60	40	23	35	42	10	36	50	25	13	44	37	70	51	55	15	30	43	14	24	45	81	11	56	22	26	63	64	12	71
16	52	80	32	41	62	34	31	61	99	33	54	65	21	60	20	40	23	35	42	10	36	50	25	37	70	13	44	51	15	55	30	24	43	14	81	45	56	11	22	26	63	64	12	71
33	20	23	35	42	62	10	41	36	50	32	52	80	53	16	13	44	34	55	31	61	99	43	14	65	21	60	45	40	11	25	37	70	22	51	15	30	24	81	56	12	26	63	64	71
43	13	14	44	45	36	50	11	10	42	35	23	20	54	22	33	62	41	32	52	80	53	16	34	31	61	99	65	21	60	40	12	25	37	70	51	15	30	24	81	56	26	63	64	71
81	24	30	15	51	37	70	25	26	40	63	21	60	65	61	99	31	64	34	16	53	52	80	32	41	62	33	54	71	20	23	35	42	10	36	50	13	44	55	43	14	45	11	22	12
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	65	40	61	99	31	34	25	37	70	16	53	51	52	80	32	15	41	62	30	24	33	81	54	20	56	23	35	42	10	36	50	13	44	55	26	43	14	45	63	11	64	22	71	12
99	31	34	65	21	60	40	16	53	52	80	32	41	25	62	37	70	51	33	54	15	20	30	23	24	35	42	81	10	36	50	56	13	44	55	43	14	45	11	26	63	22	64	71	12
41	32	52	80	33	53	16	54	20	23	34	35	42	31	61	99	10	36	50	65	21	60	40	13	44	55	25	37	43	70	14	51	45	15	11	30	24	81	22	56	26	63	12	64	71
64	26	71	56	81	24	30	15	51	37	70	25	40	21	60	65	61	99	31	34	16	53	52	80	32	41	62	33	54	20	23	35	42	10	36	50	13	44	55	43	14	45	11	22	12
63	26	71	56	81	24	30	15	51	37	70	25	40	21	60	65	61	99	31	34	16	53	52	80	32	41	62	33	54	20	23	35	42	10	36	50	13	44	55	43	14	45	11	22	12
21	60	40	61	99	31	34	25	16	53	37	52	70	80	32	51	41	62	15	30	24	33	54	81	20	23	56	35	42	10	36	50	13	44	55	26	43	14	45	11	63	64	22	71	12
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	51	25	15	30	24	40	21	60	81	65	56	61	99	31	34	16	53	52	80	32	41	62	26	33	54	20	23	35	63	42	10	36	50	64	13	44	55	43	14	45	11	71	22	12
64	63	26	56	81	24	30	15	51	37	70	25	40	21	60	65	61	99	31	34	16	53	52	80	32	41	62	33	54	20	23	35	42	10	36	50	13	44	55	43	14	45	11	22	12
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	53	32	16	41	62	34	31	61	99	33	54	65	20	21	60	40	23	35	42	10	36	50	25	13	44	37	70	51	55	15	30	43	14	24	45	81	11	56	22	26	63	64	12	71
24	30	56	15	51	37	70	25	26	40	21	60	65	61	99	31	63	34	16	64	53	52	80	32	41	62	33	54	20	23	35	42	71	10	36	50	13	44	55	43	14	45	11	22	12
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	31	34	65	21	60	40	16	53	52	80	32	41	25	62	37	70	51	33	54	15	20	30	23	24	35	42	81	10	36	50	56	13	44	55	43	14	45	11	26	63	22	64	71	12
